id,userid,appid,name,model,platform,version,pushid,uuid
42,1233,com.moodle.moodlemobile,Apple,"iPhone10,6",iOS-fcm,15.6.1,cVGwSHHxhUcln42GTeDoxX:APA91bG9RM5kSv-jXj_nqdetsTF0sVEAh6wXURzJWP-ik52RgmqIkiiDjE1S_yFJApiVCHMfldpsTBwK6Rjf0Di5us9CmcRHHjxOsAKiT0ypu0nWr3LFL4otV8icc48f-7QSu_rgj9f7,F851EA78-A266-4844-91B4-95D9514FEA11
43,1252,com.moodle.moodlemobile,realme,RMX2061,Android-fcm,11,cd1In-qbyEU:APA91bHKyDEoE7qW6RMOkXAhpivll9KbqS4ChSnXyKNEx6QGN-PhNQm7dGpTX-Z05R8ZdiaQ6aIvLd09IpAkNX6QyvPYradlY5lv2AjgpTCgcIisufbfRR6gZY9Q1IXad3HF3JJ8ZWEW,9c7987fd1fe4ce0a
44,7327,com.moodle.moodlemobile,Apple,"iPhone11,8",iOS-fcm,15.3,e0117y6nGEpGhTZjiWD0JV:APA91bHOotlrlDf76GV8McoqFD603waCnlPaG5dQRKKggX2SRANT8ulqG-t8GbRjAzmcxcFu87lBAzlinRVTLaMfODetENgtuXOqjVM4camV_6WqIzhfH_e9lxAt8vg4_h8nCYNLNDf0,AFD6BC33-DB2E-4EB8-9C75-A87EB8C95DCC
45,5534,com.moodle.moodlemobile,samsung,SM-A526B,Android-fcm,12,dUzTXomd3QU:APA91bE51BIeTPNlKFnUXpEdLuE93XNCVOOnuSb9Rw6Ywwl20ulARa9IAqStTitq0_nW_BSmDtI3kt5ROh1lRtCg_r8EOj7n-nQmCzPat0cs0_JVsCs4HpFezPArb-jk2zIq2VvWAiII,ab97e8dbd7ace390
47,3633,com.moodle.moodlemobile,Apple,"iPhone13,4",iOS-fcm,15.6.1,d8v_SonqXkZIviwLVaIUXA:APA91bE8H31mLpQ4uKBLu9UAIt4wgBlV6zI1Dv8GHC-NAy3HBgAPHMNSBJVY22er5DgaSY6VYjOLG4iQVOWhC-EARw1bkG3yClZ84eLsWu8f3sTf48mtxp144Y3ItpJsYU_I6WKixwwL,9FC1D114-A283-4A1B-BF77-671E503E14B8
48,3380,com.moodle.moodlemobile,OPPO,CPH2325,Android-fcm,11,cL4b28ecYTo:APA91bFn6XuZY-ouAZCTNsJacFNlcnrK5EybAGY5p_D84SiMgLkmg2KJJ_Smx-dTOkAhmHlXeZSvSifTvFqS0xjygy11fD0Mw3rmvQw0bkjHzJIN4TGXIGNxnyU9DgpFfjWPQiPAAZR_,7872ff92a82fe4a3
49,7833,com.moodle.moodlemobile,HUAWEI,HUAWEI M2-801L,Android-fcm,5.1.1,dCp-iUSrfxo:APA91bHLOSOG3IBkyXvYCfMmeaTdvYuN2n_C1-CmV-Vtt_FB8_KY_PHO2LYT79SuY4OyWHqUCx-aQHkfn4uB04tmlH_j2ayr8cHAV5_WIa__muoebHzR0BCH_UayRJI5bfsSCqOVpuXj,902031dd07493155
50,7833,com.moodle.moodlemobile,OPPO,CPH1803,Android-fcm,8.1.0,eiWsgO2lMNw:APA91bEpB3_i6BBCt4T5YZGRXrUaHqic-DUE6BxaE2GsL1aIGBQ-Ze1d45s7tWJMyWZSm0-DDlkuMylBpoMtqKsYWyUn8cSC6clBM2xDDCOZdLoJsIUd7KQ8OFOUDx4nNNBLtKIXeDrI,0ec53b3d62d3842d
52,8892,com.moodle.moodlemobile,OPPO,CPH2237,Android-fcm,12,d8YWi3Tw1U0:APA91bG6MGLv1jrX5G-tmYcj2kLAUeXPk1ET0X8pzovx1bkaGiKQNp_B2j7icPBP0giZIV2izGkc87N23G9Nu2bFNPZp6Qjn5iXImV-szOgX_yqEgAVtN4KoDU1zVHzk_nyhCeEPgSgn,235b36f5e1400e5d
53,1274,com.moodle.moodlemobile,Apple,"iPad13,2",iOS-fcm,15.4.1,fM9ewiTjsk0nnF-ioK2NuQ:APA91bFgXnMMuOHApV25AdRJjvOzxVJtb_E2ifsETeti7LBkZGse6sq-DPlyFGvckmKumM3SGsMkpQZqqmMZmBcw2331o3FNa6bcNgISddM4JoNnbUgBfuTebTYUvagL1JQundXbFJkX,F65043B4-EE0B-4E41-B50E-3C0F6931EAE3
